PROPERTY_CITY,PROPERTY_STATE,PAID_LISTING_COUNT,PAID_LIVE_LISTING_COUNT,PAID_LIVE_NOT_HIDDEN_LISTING_COUNT
Jersey City,New Jersey,269,95,84
Macon,Georgia,268,147,143
San Leandro,California,266,100,96
Manhattan,New York,264,85,78
Longmont,Colorado,261,117,101
Salinas,California,261,130,116
Arroyo Grande,California,260,108,98
Fredericksburg,Virginia,260,122,116
Richmond,California,258,89,74
Murrieta,California,258,102,96
Shreveport,Louisiana,258,114,108
Largo,Florida,257,130,120
Parker,Colorado,257,97,92
Round Rock,Texas,256,99,87
Columbus,Georgia,256,112,105
Chapel Hill,North Carolina,255,141,132
Torrance,California,253,109,102
Punta Gorda,Florida,253,123,115
Panama City,Florida,253,98,90
Monterey,California,252,111,100
Manchester,New Hampshire,250,125,103
Fort Walton Beach,Florida,248,97,84
Melbourne,Florida,247,122,115
Ormond Beach,Florida,246,123,114
Green Bay,Wisconsin,245,119,112
North Las Vegas,Nevada,245,88,84
Westminster,Colorado,244,98,90
Alameda,California,243,115,105
Helena,Montana,242,119,102
Hayward,California,242,95,89
Goodyear,Arizona,240,117,108
Las Cruces,New Mexico,239,103,100
Sebastopol,California,238,92,80
San Rafael,California,238,95,84
Bismarck,North Dakota,237,155,150
Springfield,Oregon,236,107,100
Plano,Texas,235,94,83
Vista,California,234,91,81
Pasadena,California,234,91,82
Iowa City,Iowa,233,149,137
Nampa,Idaho,231,104,95
Paso Robles,California,230,90,85
North Hollywood,California,230,109,98
Thornton,Colorado,229,80,73
Carolina Beach,North Carolina,229,106,98
Lakeland,Florida,229,88,84
Irvine,California,226,74,71
San Mateo,California,226,99,87
Miami Beach,Florida,225,83,81
Cheyenne,Wyoming,225,100,83
Toledo,Ohio,223,131,124
Woodland Hills,California,223,77,68
Rochester,Minnesota,223,140,132
Wenatchee,Washington,223,108,92
Dunedin,Florida,222,121,114
Castle Rock,Colorado,222,69,62
North Myrtle Beach,South Carolina,222,106,102
Fairfield,California,222,68,66
Metairie,Louisiana,221,96,90
Orange,California,221,76,69
Duluth,Minnesota,220,113,101
Wailuku,Hawaii,219,91,79
Harrisburg,Pennsylvania,219,130,122
Fargo,North Dakota,219,123,117
Gig Harbor,Washington,217,84,77
Rancho Mirage,California,217,103,96
Santa Maria,California,217,87,78
Smyrna,Georgia,217,77,75
Portsmouth,Virginia,216,83,77
Abilene,Texas,214,110,106
Boynton Beach,Florida,214,80,75
Port Angeles,Washington,214,86,78
Palm Bay,Florida,214,93,84
Johnson City,Tennessee,213,113,100
South Portland,Maine,213,90,70
Hendersonville,North Carolina,212,98,86
Springfield,Illinois,212,138,131
La Jolla,California,210,99,88
Morgantown,West Virginia,210,130,113
Lafayette,Louisiana,209,76,74
Bellevue,Washington,208,79,70
Springfield,Massachusetts,208,104,100
Stone Mountain,Georgia,208,65,64
Athens,Georgia,208,127,119
Merced,California,207,103,100
Chesapeake,Virginia,206,90,83
Sandy,Utah,206,94,83
Waco,Texas,205,115,110
Mobile,Alabama,205,89,82
Wilmington,Delaware,205,103,96
Spring,Texas,204,67,60
Murfreesboro,Tennessee,204,97,93
Salem,Massachusetts,204,87,80
New Braunfels,Texas,204,97,92
Bloomington,Indiana,204,128,113
Lancaster,California,201,64,61
Atascadero,California,201,98,94
Santa Ana,California,200,91,83
Menifee,California,199,65,56
Wheat Ridge,Colorado,199,89,83
Gainesville,Georgia,199,105,93
Vacaville,California,198,56,54
Idaho Falls,Idaho,198,90,76
Upper Marlboro,Maryland,197,77,70
Lancaster,Pennsylvania,197,78,73
Aptos,California,196,64,62
Fontana,California,196,65,61
Katy,Texas,196,53,52
Clarksville,Tennessee,194,91,88
Novato,California,193,73,60
West Hollywood,California,193,60,55
Bonita Springs,Florida,193,82,77
Annapolis,Maryland,192,89,85
Plymouth,Massachusetts,192,80,71
Palo Alto,California,192,75,61
Butte,Montana,191,100,75
Lithonia,Georgia,191,52,48
The Villages,Florida,191,77,74
Temple,Texas,190,94,91
Redmond,Oregon,190,77,71
Hartford,Connecticut,190,95,87
Lewes,Delaware,189,74,70
Mcdonough,Georgia,188,67,62
Federal Way,Washington,188,62,58
Klamath Falls,Oregon,188,76,61
Bullhead City,Arizona,187,74,71
Bowie,Maryland,187,66,55
Cary,North Carolina,187,88,81
Charleston,West Virginia,187,117,114
Grass Valley,California,187,53,51
Redondo Beach,California,187,61,53
Desert Hot Springs,California,186,91,87
Venice,California,186,68,62
Golden,Colorado,186,74,65
Rio Rancho,New Mexico,184,76,70
New Port Richey,Florida,183,74,68
Bridgeport,Connecticut,182,75,73
Rehoboth Beach,Delaware,182,60,56
Centennial,Colorado,182,61,53
Kent,Washington,180,57,46
Conyers,Georgia,179,61,57
Kansas City,Kansas,179,91,81
Pacifica,California,178,76,66
Snellville,Georgia,177,67,65
Saint Pete Beach,Florida,176,84,76
Sonoma,California,176,74,61
South Bend,Indiana,176,84,76
Irving,Texas,176,59,57
Boca Raton,Florida,176,52,48
Fort Pierce,Florida,175,81,78
Sunnyvale,California,175,73,59
Fairbanks,Alaska,175,68,57
Glendale,California,175,61,55
Manteca,California,175,73,66
Sebring,Florida,174,77,68
Stuart,Florida,174,84,79
Auburn,Washington,174,74,70
Durango,Colorado,174,75,66
Twin Falls,Idaho,174,105,98
El Cajon,California,174,67,58
Ogden,Utah,173,91,89
Amarillo,Texas,173,84,83
Victorville,California,173,73,68
Santa Clara,California,172,70,67
Hampton,New Hampshire,172,79,75
Riverview,Florida,172,54,52
Palm Coast,Florida,172,83,80
Peoria,Illinois,171,98,88
Burbank,California,171,69,64
High Point,North Carolina,171,83,81
Costa Mesa,California,171,76,67
Casper,Wyoming,171,92,81
Mountain View,California,170,75,62
Lodi,California,170,72,64
Georgetown,Texas,169,61,60
Frisco,Texas,169,65,59
Burien,Washington,168,82,71
Tyler,Texas,168,84,78
Shoreline,Washington,168,79,75
Saratoga Springs,New York,168,72,70
Newport Beach,California,168,64,61
Akron,Ohio,168,87,84
Thousand Oaks,California,167,63,58
Wasilla,Alaska,166,73,63
Albany,Georgia,166,61,60
Pocatello,Idaho,166,70,67
East Point,Georgia,165,69,59
Martinez,California,165,63,60
Yakima,Washington,165,91,81
Camarillo,California,164,59,56
Cedar Rapids,Iowa,164,94,85
Florence,South Carolina,164,82,77
Fayetteville,Arkansas,163,73,69
Dorchester,Massachusetts,162,65,59
Rancho Cucamonga,California,162,51,46
Sherman Oaks,California,161,62,59
New Bern,North Carolina,161,92,90
Livermore,California,161,51,45
Corona,California,160,47,44
New Smyrna Beach,Florida,159,61,58
Montrose,Colorado,159,88,79
Palmdale,California,159,55,49
San Pedro,California,159,77,73
Pflugerville,Texas,158,75,70
Imperial Beach,California,157,57,53
Destin,Florida,156,66,55
Fairfax,Virginia,156,74,64
Lewiston,Maine,155,92,87
Milford,Connecticut,155,65,62
San Clemente,California,155,74,68
Greeley,Colorado,154,59,55
Franklin,Tennessee,154,54,47
Folsom,California,154,63,59
Prescott Valley,Arizona,154,64,60
Beaufort,South Carolina,154,87,84
Conroe,Texas,153,60,56
Garden Grove,California,153,71,57
Staten Island,New York,152,69,66
Spokane Valley,Washington,152,74,61
Van Nuys,California,152,49,46
Highlands Ranch,Colorado,152,55,49
Hudson,Florida,152,66,63
Broomfield,Colorado,151,56,49
San Marcos,California,151,60,56
Douglasville,Georgia,151,47,43
Quincy,Massachusetts,151,72,64
Lake Charles,Louisiana,151,80,77
Daly City,California,150,63,60
Scarborough,Maine,150,64,54
Erie,Pennsylvania,150,82,78
Hyannis,Massachusetts,150,57,54
Henrico,Virginia,150,68,64
Woodbridge,Virginia,149,60,57
Castro Valley,California,149,66,64
Jacksonville Beach,Florida,149,58,52
Great Falls,Montana,149,87,74
Mckinney,Texas,149,48,46
Keaau,Hawaii,148,75,71
Winter Haven,Florida,148,71,68
Kalamazoo,Michigan,148,69,65
Madera,California,147,73,68
Whittier,California,146,52,46
Pacific Grove,California,146,73,65
Brookings,Oregon,146,69,63
Appleton,Wisconsin,145,85,79
Snohomish,Washington,145,75,68
West Haven,Connecticut,145,66,63
Winter Park,Florida,145,68,62
Farmington,New Mexico,145,87,81
